id,question,answer
80,em không quá giỏi tiếng anh thì có_thể thi và học ngành logistics không ạ,chào em nếu em không quá giỏi tiếng anh thì sẽ khó_khăn khi thi_tuyển vào ngành logistics vì yêu_cầu tổ_hợp xét tuyển ngành này là các tổ_hợp đều yêu_cầu có môn tiếng anh https ts hust edu vn nganh dao tao logistics va quan ly chuoi cung ung chuong trinh tien tientổ hợp a01 D07 d01 nên điểm số tiếng anh sẽ ảnh_hưởng 33 đến việc em có đậu vào ngành này hay không ngoài_ra đây là chương_trình tiên_tiến đào_tạo bằng tiếng anh nên em sẽ ĐƯỢC nâng cao khả_năng tiếng anh của mình khi vào học nếu em muốn ra trường có việc_làm lương cao nhiều cơ_hội thì nên đầu_tư vào học ngoại_ngữ ngay từ bây_giờ
81,em có nghe thông_tin kỳ thi đánh_giá tư_duy 2024 được tổ_chức vào khoảng 12 2023 không biết có đúng không ạ và không biết 2024 nhà_trường có tổ_chức sớm hơn không tại 2023 nhà_trường tổ_chức hơi muộn nên có nhiều trường đóng cổng xét tuyển không xét được em cảm_ơn,chào em hiện vẫn chưa có kế_hoạch thời_gian chính_xác của đợt thi thử_nghiệm TSA cuối em hãy theo_dõi fanpage https www facebook com tsdhbk
82,cho em hỏi là để được cộng điểm ưu_tiên khi xét tuyển vào bách_khoa bằng đánh_giá tư_duy có cần gửi minh chứng vào đâu không ạ hay trường sẽ căn_cứ vào thông_tin trên cổng đăng_ký nguyện_vọng của bộ,chào em thầy đang hiểu theo câu hỏi của em là điểm ưu_tiên khi có chứng_chỉ ngoại_ngữ căn_cứ để cộng điểm ưu_tiên từ quy_đổi chứng_chỉ ngoại_ngữ thì sẽ xét bằng_chứng_chỉ NN em đã tải lên tại đây em kiểm_tra xem mình đã hoàn_thành tải lên chưa https ts hust edu vn tin tuc huong dan quy doi diem chung chi ngoai ngu nam 2023 còn nếu cộng điểm ưu_tiên diện khu_vực hoặc đối_tượng thì hệ_thống của bộ GD ĐT đã tự_động cộng chung cho tất_cả các bạn dựa trên phiếu đăng_ký nguyện_vọng em nộp từ trường THPT rồi em không phải làm gì cả
83,1,chào em trong tuần này em login vào hệ_thống TSA sẽ thấy điểm thi tư_duy nhé từ 12 6 đến 16 6 2023
84,nếu em đỗ kỳ thi đánh_giá tư_duy thì em có_thể theo học ngành khoa_học máy_tính IT1 khộng ạ mà nếu em không đỗ kỳ thi đánh_giá tư_duy thì em có_thể thi các môn khối A01 không ạ,chào em quan_trọng là em đạt bao_nhiêu điểm thi đánh_giá tư_duy nếu em đủ điểm bởi thang điểm đánh_giá tư_duy thì em chỉ cần đậu tốt_nghiệp theo quy_định của bộ GD ĐT các môn trên 5 là được nếu em không đỗ theo thang điểm thi đánh_giá tư_duy thì hệ_thống sẽ tự_động xét tiếp_theo các tổ_hợp khác mà em đã chọn VD A00_A01
85,cho em hỏi là bây_giờ trường đã có thông_báo gì về ngày của kỳ thi đánh_giá năng_lực chưa ạ với cả khi đi thi đánh_giá năng_lực cần mang những gì ạ,chào em lịch thi đánh_giá năng_lực em xem tại bài viết này https ts hust edu vn tin tuc huong dan dang ky tuyen sinh dai hoc 2021 khi thi năng_lực em mang CMND máy_tính casio bút nhé
86,thầy cô cho e hỏi là đối_với khối ngành kỹ_thuật kinh_tế điểm trung_bình 5 học_kì đối_với tổng 3 môn toán lý hoá có phải là lấy điểm trung_bình của toán lý hoá trong từng kì cộng vào chia 5 ko ạ hay là lấy điểm trung_bình trong 5 kì môn lý cộng môn hoá cộng toán chia 3 ạ,ví_dụ điểm trung_bình 5 học_kỳ của môn toán là điểm học_kỳ 1 lớp 10 học_kỳ 2 lớp 10 học_kỳ 1 lớp 11 học_kỳ 2 lớp 11 học_kỳ 1 lớp 12 5 sao lại chia 3 hả em đây là công_thức toán lớp 5 mà
87,thi môn đọc hiểu nghĩa_là gì ạ,dạng bài thi đọc hiểu có_nghĩa thí_sinh đọc một đoạn văn đề_bài cho trước vận_dụng cách hiểu tư_duy để trả_lời những câu hỏi ở dưới về nội_dung đoạn văn này bài thi đọc hiểu có thời_lượng 30 35 phút nhằm đánh_giá khả_năng đọc nhanh hiểu đúng bằng tiếng việt và khả_năng suy_luận về những chủ_đề khác nhau trong khoa_học kỹ_thuật xã_hội và văn_học đọc hiểu là một năng_lực cốt_lõi cần_thiết cho việc tự học và học_tập suốt đời em có_thể tham_khảo phần thi reading trong các bài_học bài thi tiếng anh
88,chào các anh_chị thầy cô ở đhbkhn năm nay em muốn dự thi vào bách_khoa ở cả 3 hình_thức xét tuyển nên em có chút băn_khoăn là nhóm ngành công_nghệ thông_tin sẽ lấy 2 khối a19 và a20 như nhau hay_là muốn khối nào hơn ạ mong các anh_chị thầy cô sớm trả_lời,chào em từ năm_ngoái trường ĐH bách_khoa hà_nội đã áp_dụng xét điểm thi không phân_biệt thứ tự_nguyện_vọng nên việc em chọn khối A19 hay A20 là sẽ do em quyết_định ngoài_ra sau khi các em thi xong tự xác_định được mình thi tổ_hợp nào tốt nhất thì sẽ có 1 đợt điều_chỉnh nguyện_vọng online nữa như vậy lúc này em có_thể tự điều_chỉnh lại tổ_hợp em đã chọn a19 hoặc A20 để đăng_ký ngành mà em thích
89,em chào cô và các bạn em là sinh_viên k65 do chưa hoà được vào không_khí của môi_trường đại_học bỏ học bỏ thi không quan_tâm đến mail của trường nên em từ cảnh_cáo mức 0 lên mức buộc phải nghỉ học vậy cho em hỏi là bây_giờ em có_thể đăng_kí thi lại theo hệ thi THPTQG được không ạ và nếu được thì mình cần làm những gì và chuẩn_bị những giấy_tờ gì ạ mong cô tư_vấn cho em với ạ em xin cảm_ơn,chào em_em hoàn_toàn có_thể thi lại đại_học bình_thường và được xét như một thí_sinh tự_do các thông_tin về điểm số quá_trình học cũ của em sẽ hoàn_toàn được khởi tạo mới nếu em trúng_tuyển vào trường ví_dụ K65 mã_số sinh_viên của em là 20200001 sẽ được khóa lại K68 em trúng_tuyển sẽ được cấp mã_số sinh_viên mới 2023xxxx là mới và độc_lập với tài_khoản cũ do đó em không cần lo_lắng em chỉ cần like fanpage của trường đại_học em mong_muốn thi vào để không bỏ lỡ các tin tuyển_sinh thực_hiện đăng_ký như bình_thường
90,đối_với thí_sinh sử_dụng kết_quả kỳ thi đgtd tổng_điểm 6 học_kỳ của mỗi môn_học trong tổ_hợp môn đạt từ 42 0 trở lên thí_sinh được tùy_chọn 1 trong 5 tổ_hợp môn toán lý_hóa toán_hóa sinh toán lý ngoại_ngữ toán_hóa ngoại_ngữ toán văn ngoại_ngữ cho em hỏi làm_sao để chọn ạ,chào em nhà_trường sẽ hướng_dẫn tại thời_điểm nhập_học sau khi thí_sinh đã có kết_quả trúng_tuyển vào ĐHBKHN dự_kiến trong thời_điểm này em tự kiểm_tra và tự xác_định tổ_hợp môn mình sẽ sử_dụng trước sau_này sẽ có hướng_dẫn cụ_thể em nhé
91,em chào thầy cô ạ em lên hệ_thống đăng_ký XTTN https dangkytuyensinh hust edu vn để tra_cứu kết_quả trúng_tuyển diện 1 3 nhưng khi ấn vào ô tra_cứu để xem kết_quả thì lại không xem được ạ em đã thử lại ở nhiều thiết_bị khác nhau nhưng đều không được đó là do lỗi tài_khoản của em hay_là do nhà_trường không cho thí_sinh xem kết_quả đó nữa ạ đợt đầu khi nhà_trường thông_báo kết_quả thì em vẫn vào xem được bình_thường nhưng gần đây thì lại không được nữa ạ,chào em hệ_thống dangkytuyensinh hust edu vn đang chuẩn_bị dữ_liệu cho các đợt tuyển_sinh khác nên em hãy chụp màn_hình và lưu_thông_tin lại hệ_thống sẽ không hiển_thị mãi_mãi thông_tin trúng_tuyển thẳng của em
92,cho em hỏi là đăng_ký hồ_sơ xét tuyển cùng 1 ngành có_thể vừa đăng_ký xét học vừa xét điểm thi thpt mỗi kiểu sét tuyển là 1 hồ_sơ riêng được không ạ,chào em ý của em có phải là xét tuyển trên website của bộ giáo_dục và đào_tạo https thisinh thithptquocgia edu vn em có_thể đăng_ký xét tuyển thẳng xét tuyển theo điểm thi TN THPT xét tuyển theo điểm bài thi đánh_giá tư_duy cả 3 phương_thức vào cùng 1 ngành miễn_là em có điểm số ở các phương_thức đó việc của em là cần xác_nhận xem em chọn nguyện_vọng 1 là ngành nào theo phương_thức nào nguyện_vọng 2 là ngành nào theo phương_thức nào trên website https thisinh thithptquocgia edu vn
93,cho em hỏi là nếu mình đã điền phiếu kê thông_tin online rồi mình in ra thì mình có cần viết cái sơ_yếu lí_lịch học_sinh nữa không ạ,chào em sơ_yếu lý_lịch theo như thầy hiểu là theo mẫu in sẵn có xác_nhận của UBND xã phường về nhân_thân gốc_gác quê_quán sẽ khác nội_dung trên phiếu kê_khai_thông_tin online vì phiếu kê_khai_thông_tin online là hoàn_toàn do em tự khai em khai sai vẫn không_thể_xác_minh được hết đầy_đủ sơ_yếu lí_lịch học_sinh có xác_nhận của UBND xã phường sẽ có thêm xác_nhận tính chính_xác về thông_tin cá_nhân tại nơi em cư_trú về vấn_đề này em nên hỏi thêm tại phòng công_tác sinh_viên
94,em thắc_mắc là có cách nào để đăng_kí học tại trường bằng cách nộp hồ_sơ và điểm TNTHPT trực_tiếp không ạ vì em đã đạt đủ điểm đầu_vào nhưng nguyện_vọng đặt trên web của bộ giáo_dục lại trúng vào nguyện_vọng khác em cảm_ơn,chào em với thí_sinh tự_do hoặc lớp 12 chỉ có đăng_ký xét tuyển vào trường thông_qua cổng xét tuyển của bộ GD ĐT nếu em đăng_ký nguyện_vọng vào bách_khoa để lên làm nguyện_vọng đầu_tiên khi em đã đủ điểm đầu_vào thì em chắc_chắn sẽ trúng_tuyển vào bách_khoa chứ không bao_giờ có chuyện em sẽ trúng vào trường khác chỉ có khi em để nguyện_vọng trường khác lên trên nguyện_vọng của bách_khoa thôi
95,cho e hỏi em chào thầy cô em đang thắc_mắc là tại_sao trên trang_chủ của trường có xét tuyển nghành IT E10 bằng kết_quả TN THPT cụ_thể là mã it e10y nhưng khi đăng_ký nguyện_vọng lại không có mà chỉ có IT E10 và it e10x ạ,chào em mã ngành có chữ x và y còn không có chữ x và y nhỏ đằng sau dự_kiến thống_nhất từ trở_đi sẽ sử_dụng mã xét tuyển thuần không có x hay y nhỏ nữa em nhé
96,cho e hỏi học_phí của chương_trình 1 năm là bao_nhiêu và tổng học_phí cho 4 năm là bao_nhiêu ạ,chào em tùy vào chương_trình đào_tạo em lựa_chọn là chương_trình chuẩn tiên_tiến hay liên_kết đào_tạo quốc_tế mà sẽ có mức học_phí khác nhau nhé em chọn chương_trình nào
97,hướng_dẫn tuyển_sinh năm cho,chào em_em xem các bài hướng_dẫn tại mục tuyển_sinh đại_học tại từng năm tuyển_sinh nhé chưa có thông_tin cho hay 2025 đâu em
98,huong dan tuyen sinh nam cho nam 2026,chào em chưa có thông_tin tuyển_sinh cho được nhé
99,hướng_dẫn tuyển_sinh năm cho,chào em_em xem chi_tiết tại bài viết này nhé https ts hust edu vn tin tuc thong tin tuyen sinh dai hoc chinh quy nam 2023
100,26 điểm liệu đỗ được tự_động hóa không mn,chào em_em hãy cứ đăng_ký nguyện_vọng tự_động hóa theo thứ_tự em thích trên phiếu đăng_ký của bộ GD ĐT còn việc trúng_tuyển vào ngành nào là do duyên_số do hàng trăm nghìn_thí_sinh khác còn đang lựa_chọn nguyện_vọng cho đến 30 7 2023 em nhé
101,trường bách_khoa hà_nội xét tuyển những tổ_hợp môn nào em thi khối D02 toán văn tiếng nga có được xét tuyển không,ĐHBKHN xét tuyển 7 tổ_hợp môn gồm a00 TOÁN lý_hóa a01 TOÁN lý anh a02 TOÁN lý sinh_học b00 TOÁN_hóa học_sinh_học d01 toán văn anh d07 toán_hóa anh d29 toán lý tiếng pháp chi_tiết các ngành chương_trình đào_tạo theo tổ_hợp môn e xem ở đây http bit ly ptts hust tra_cứu bằng cách gõ ctrl f và nhập vào tổ_hợp môn cần tìm a00 d01 p s rất tiếc là ĐHBKHN hiện chưa xét tổ_hợp D02 hi_vọng trong các năm tới nha em trả_lời từ thầy lê_giang p tuyển_sinh
102,điều_kiện xét tuyển học_bạ vào trường mình là gì ạ,NĂM 2019 xét học_bạ là điều_kiện sơ_tuyển sau khi em nhập_học vào trường điều_kiện là tổng_điểm trung_bình của các môn_học thuộc tổ_hợp môn xét tuyển tính cho 06 học_kỳ THPT từ 20 0 điểm trở lên điểm các môn ở các kỳ có_thể bù_trừ cho nhau bình_quân mỗi môn là 6 67 điểm vd em đậu vào bách_khoa với tổ_hợp A00 toán lý_hóa_điểm môn toán lớp 10 kỳ 1 6 kỳ 2 5 TB 5 5 tương_tự lớp 11 TB 6 lớp 12 TB 6 5 vậy môn toán 6 kỳ được 5 5 6 6 5 18 trung_bình 6 kỳ là 18 3 6 điểm môn lý cấp 3 trung_bình 6 kỳ là 7 điểm môn_hóa cấp 3 trung_bình 6 kỳ là 6 tổng_điểm trung_bình các môn tổ_hợp A00 của em 6 7 6 19 20 KHÔNG ĐẠT ĐIỀU_kiện vậy em vẫn không đủ điều_kiện để đậu vào bách_khoa lúc này em sẽ phải liên_hệ phòng đào_tạo BKHN và viện chuyên_ngành mà em đã nộp hồ_sơ để làm thủ_tục lấy lại hồ_sơ để nhập_học tại trường khác yes điều_kiện này không áp_dụng cho thí_sinh thuộc diện tuyển thẳng thí_sinh đã tốt_nghiệp cao_đẳng hệ chính_quy của trường và thí_sinh đăng_ký xét tuyển vào hai chương_trình đào_tạo quốc_tế do nước_ngoài cấp bằng TROY BA và TROY IT NĂM 2020 1 điều_kiện sơ_tuyển học_bạ với xét thi TN THPT và tham_dự bài kiểm_tra tư_duy là điểm trung_bình 6 học_kỳ mỗi môn_học THPT trong tổ_hợp sơ_tuyển đạt từ 7 0 trở lên đối_với thí_sinh tốt_nghiệp chỉ tính 5 học_kỳ tới hết học_kỳ 1 lớp 12 điểm các kỳ có_thể bù_trừ cho nhau nhưng trung_bình chung phải đạt từ 7 0 trở lên và như vậy tổng_điểm trung_bình của 3 môn thuộc tổ_hợp xét tuyển cần phải trên 21 00 ví_dụ bạn A đạt điểm 5 kỳ môn toán là 7 8 6 9 9 39 bình_quân 5 kỳ là 7 8 7 0 bạn A vẫn ĐẠT SƠ_TUYỂN mặc_dù có 1 kỳ bị 6 điểm môn toán 2 điều_kiện sơ_tuyển học_bạ với xét tuyển thẳng theo HSG quốc_gia chứng_chỉ quốc_tế và theo HS năng_lực là điểm trung_bình chung học_tập từng năm_học lớp 10 11 và 12 các môn đạt từ 8 0 trở lên điểm các môn có_thể bù_trừ cho nhau miễn_là trung_bình chung cả năm_học trên 8 0 ví_dụ năm lớp 10 bạn B đạt điểm trung_bình chung các môn toán vậy lý_hóa học_sinh_học tin_học ngữ_văn lịch_sử địa_lý GDCD ngoại_ngữ công_nghệ là 7 8 8 9 9 9 9 8 9 10 8 39 môn GD AN QP có trường không có điểm số chỉ có xác_nhận ĐẠT hoặc KHÔNG ĐẠT nên có_thể bỏ_qua nếu đã đạt bình_quân cả năm lớp 10 của bạn B ở trên là 8 54 8 0 bạn B vẫn ĐẠT SƠ_TUYỂN mặc_dù có 1 môn toán bị 7 điểm trung_bình chung
103,chào anh_chị hình_thức xét tuyển vào cao_học ĐHBKHN thì em cần đảm_bảo yếu_tố nào ạ,chào bạn hình_thức xét tuyển vào cao_học đhbkhn chỉ áp_dụng với ứng_viên đăng_ký học thạc sỹ khoa_học kỹ_thuật công_nghệ theo định_hướng nghiên_cứu điều_kiện của các ứng_viên này là a đã tốt_nghiệp đại_học chính_qui các chuyên_ngành kỹ_thuật công_nghệ của các trường đại_học ở việt_nam hoặc cơ_sở đào_tạo uy_tín trên thế_giới được bộ giáo_dục đào_tạo công_nhận b tốt_nghiệp đại_học đạt loại khá trở lên thời_gian tính từ lúc tốt_nghiệp đại_học đến lúc nộp hồ_sơ xét tuyển không quá 3 năm c đăng_ký chuyên_ngành bậc thạc_sĩ đúng với chuyên_ngành bậc đại_học xem phụ_lục 1 d có chứng_chỉ trình_độ ngoại_ngữ tiếng anh tương_đương cấp_độ B1 hoặc bậc 3 6 trở lên theo khung năng_lực ngoại_ngữ 6 bậc dành cho người việt_nam xem bảng dưới đây
104,trường ĐH bách_khoa hà_nội có tuyển ngành_nghề khối B không ạ và nếu có thì gồm những ngành nào ạ,chào em nếu lựa_chọn tổ_hợp xét tuyển B00 toán_hóa sinh bạn có_thể thi các ngành có mã xét tuyển thuộc viện KT_hóa học CH1 CH2 CH3 CH E11 viện CN sinh_học thực_phẩm BF1 BF2 BF E12 viện môi_trường ev1 ngoài_ra nếu bạn chọn tổ_hợp có môn sinh thì chương_trình kỹ_thuật hạt_nhân PH2 có xét tuyển tổ_hợp a02 toán lý sinh em tham_khảo ở đây https ts hust edu vn nganh dao tao ky thuat hat nhan
105,học_phí chương_trình học 2 năm ngành kỹ_thuật hoá_dược CTTT tại ĐH adelaide úc,chào em học_phí chương_trình này là 40 45 triệu đồng năm_học 1 năm có 2 học_kỳ chi_tiết em xem ở đây nhéhttps ts hust edu vn nganh dao tao ky thuat hoa duoc chuong trinh tien tien
106,nếu trường cho bảo_lưu thì là trước khi nhập_học hay sau khi nhập_học ạ thủ_tục như thế_nào ạ và liệu thời_gian đóng học_phí sẽ như thế_nào theo kỳ hay theo năm ạ,chào em_em phải học tối_thiểu 1 năm_học sau đó mang đơn trình_bày đến phòng đào_tạo trình_bày lý_do được ban giám_hiệu đồng_ý thì mới được xét bảo_lưu nếu em vừa trúng_tuyển thì không được phép xin bảo_lưu quy_trình và thủ_tục em cần liên_hệ tới phòng đào_tạo thời_gian đóng học_phí là theo từng kỳ học trong 1 năm 1 năm có 2 học_kỳ đóng vào cuối mỗi kỳ học phụ_thuộc số_lượng tín_chỉ em đã đăng_ký tại kỳ học đó
107,chào thầy cô em là 2k3 muốn theo IT_trí_tuệ nhân_tạo bố em là thương_binh mất 61 sức_khỏe_vậy em có được miễn_giảm học_phí không và được miễn_giảm bao_nhiêu ạ có phải là chỉ được miễn theo chương_trình chuẩn còn em theo chương_trình tiên_tiến thì vẫn phải đóng thêm tiền học không ạ em cảm_ơn ạ,chào em sau khi em nhập_học vào trường em lên phòng công_tác sinh_viên làm đơn xin miễn_giảm học_phí nhé quy_định miễn_giảm học_phí theo diện học_bổng hỗ_trợ học_tập cho các sinh_viên gia_đình khó_khăn có_thể giảm từ 50 đến 100 học_phí cho em
108,xin chào thầy cô e đang là sinh_viên của trường ĐH bách_khoa HN đã học xong các học_phần nhưng do chưa đủ điều_kiện đầu_ra tiếng anh nên chưa tốt_nghiệp e có lệnh gọi nhập_ngũ vào CAND e muốn thi lại vào các trường CAND nhưng học_bạ gốc e vẫn ở trường vậy e có_thể rút học_bạ về để đăng_kí thi xét tuyển nếu không đỗ thì khi ra_quân e có_thể học hoàn_thiện nốt điều_kiện đầu_ra tiếng anh để tốt_nghiệp không ạ nếu được thì cần thủ_tục gì e xin trân thành cảm_ơn và mong_muốn được giải_đáp câu hỏi,chào em mục hỏi_đáp này chỉ giải_đáp các vấn_đề tuyển_sinh đầu_vào cho những bạn chưa vào trường trường_hợp của em cần phải liên_hệ đến phòng đào_tạo nhé văn_phòng C1 201 quản_lý điểm và xử_lý học_tập ĐATN xét tn phone 8424 38682305
109,em chào thầy cô và anh_chị ạ chuyện là em vô_tình làm mất sổ đoàn và giờ nếu muốn xin làm lại thì ít_nhất em phải đợi đến khi hết dịch mới có_thể ra trường cấp 3 để xin cấp lại được ạ thầy cô và anh_chị cho em hỏi là nếu lúc nộp hồ_sơ nhập_học mà em không có sổ đoàn thì có ảnh_hưởng gì không ạ và em có_thể nộp sổ đoàn sau được không ạ em cảm_ơn ạ,chào em hồ_sơ quan_trọng nhất để em nhập_học vào được ĐHBKHN là giấy chứng_nhận kết_quả thi TN THPT bản_gốc còn lại các giấy_tờ khác em có_thể bổ_sung sau kể_cả sổ đoàn em vẫn có_thể bổ_sung sau khi em nhập_học hiện đang trong thời_kỳ dịch_bệnh nên việc xin cấp giấy_tờ công_chứng khó_khăn nhà_trường đều hiểu điều này em không cần phải lo_lắng nhé
110,cho em hỏi là em đã nập giấy_báo điểm THPT cho nhà_trường rồi nhưng em quên chưa photo lại vậy cho em hỏi là nhỡ may nhà_trường có thủ_tục gì cần đến nó thì em có cần phải tự đi xin để rút ra để photo không ạ hay là nhà_trường có biện_pháp khác ạ em xin cảm_ơn,chào em nếu nhỡ may em cần photo giấy_báo điểm THPT của mình thì em có_thể cầm điện_thoại lên nơi em đã nộp giấy để xin chụp hoặc nhờ các thầy cô photo tại_chỗ cho em điều này hoàn_toàn bình_thường và các thầy cô sẽ tạo điều_kiện cho em
111,hsg cấp tỉnh giải nhì được cộng bao_nhiêu điểm đại_học,ng đương 3 xét hồ_sơ năng_lực kết_hợp phỏng_vấn dành cho thí_sinh có điểm trung_bình chung học_tập từng năm_học lớp 10 11 12 đạt 8 0 trở lên và đáp_ứng một trong các điều_kiện sau a thí_sinh thuộc hệ chuyên gồm chuyên toán lý_hóa sinh tin_học ngoại_ngữ của các trường THPT và THPT chuyên trên toàn_quốc các lớp chuyên hệ chuyên thuộc các trường đại_học đại_học quốc_gia đại_học vùng b thí_sinh được chọn tham_dự kỳ thi HSG giỏi quốc_gia hoặc đạt giải nhất nhì ba cấp tỉnh_thành_phố các môn toán lý_hóa sinh tin_học ngoại_ngữ bậc thpt c thí_sinh được chọn tham_dự cuộc thi KHKT cấp quốc_gia do bộ giáo_dục và đào_tạo tổ_chức d thí_sinh tham_dự vòng thi tháng quý năm cuộc thi đường lên đỉnh olympia của đài_truyền_hình việt nam e thí_sinh không sử_dụng quyền tuyển thẳng theo quy_định của bộ giáo_dục và đào_tạo
112,thưa thầy cô em xin phép hỏi là 1 mã chứng_nhận được nói đến trong form xét tuyển có phải là registration number mã_số đăng_ký của bài thi không ạ 2 khi em tải ảnh minh chứng điểm chứng_chỉ SAT thì định_dạng như dưới ảnh sau do college board cung_cấp PDF được em đổi sang JPG file PDF có 2 trang nhưng em chỉ lấy 1 trang có thông_tin có được chấp_nhận không ạ nếu không thì phải in ra rồi công_chứng hay làm gì khác không ạ 3 em không thấy nói đến trong form lẫn thông_báo phương_án xét tuyển của trường nhưng hình_như trước đây có một yêu_cầu_là học_sinh xét tuyển gửi điểm SAT thông_qua college board cho nhà_trường ạ em hỏi để chắc_chắn là điều này không còn cần_thiết cũng như_không cần phải làm gì thêm ngoài yêu_cầu của form đúng chứ ạ em cảm_ơn nhiều ạ,chào em 1 mã chứng_nhận được nói đến trong form xét tuyển có phải là registration number mã_số đăng_ký của bài thi không ạ trả_lời chính là mã registration number và đã có hướng_dẫn tại bài viết này rồi https ts hust edu vn tin tuc huong dan dang ky tuyen sinh 2021 dang ky xet tuyen tai nang 2 khi em tải ảnh minh chứng điểm chứng_chỉ SAT thì định_dạng như dưới ảnh sau do college board cung_cấp PDF được em đổi sang JPG file PDF có 2 trang nhưng em chỉ lấy 1 trang có thông_tin có được chấp_nhận không ạ nếu không thì phải in ra rồi công_chứng hay làm gì khác không ạ trả_lời em tải file chứng_chỉ lên là file PDF hoặc JPG PNG đều được nếu có nhiều trang thì em nên tải lên file pdf file có 2 trang em chỉ lấy trang có thông_tin VẪN HỢP_LỆ và thực_chất ban tuyển_sinh cần trang có thông_tin để đánh_giá em không cần phải tải lên bản công_chứng sau_này nếu em trúng_tuyển thẳng thì nhà_trường sẽ có bài hướng_dẫn để em chuyển điểm SAT về ĐHBKHN theo mã code của nhà_trường sau 3 em không thấy nói đến trong form lẫn thông_báo phương_án xét tuyển của trường nhưng hình_như trước đây có một yêu_cầu_là học_sinh xét tuyển gửi điểm SAT thông_qua college board cho nhà_trường ạ em hỏi để chắc_chắn là điều này không còn cần_thiết cũng như_không cần phải làm gì thêm ngoài yêu_cầu của form đúng chứ ạ trả_lời nếu_như em trúng_tuyển thẳng vào ĐHBKHN và xác_nhận sử_dụng quyền_lợi tuyển thẳng thì mới cần gửi điểm SAT thông_qua college board cho nhà_trường khi đó phòng tuyển_sinh sẽ có bài hướng_dẫn sau nhé https ts hust edu vn tin tuc ma act ma sat danh cho thi sinh tuyen thang vao cac chuong trinh dao tao quoc te
113,có 2 tự chọn là tự chọn KHTN và tự chọn tiếng anh vậy ngành IT yêu_cầu ngoài 2 môn bắt_buộc là toán và đọc hiểu thì tự chọn còn lại là gì,chào em thông_tin cụ_thể về ngành IT sẽ sử_dụng môn tự chọn là gì sẽ được chốt thống_nhất vào đề_án tuyển_sinh hiện dự_kiến sử_dụng như là tự chọn LÝ_HÓA
114,KTTD có dùng chung nguyện_vọng với thi THPT QG không ạ nếu muốn thi cả KTTD với THPT QG nhưng chỉ ghi nguyện_vọng của THPT QG thì sau khi thi THPT QG xong có được điều_chỉnh thêm nguyện_vọng để thi KTTD không ạ,chào em_em hình_dung tổ_hợp bài KTTD cũng giống như 1 tổ_hợp thi TN THPT tức_là em vẫn điền vào phiếu đăng_ký TN THPT như bình_thường vd năm trước ngành X này có xét tổ_hợp A00 A01 năm nay có xét thêm tổ_hợp bk1 vậy nên em vẫn được phép điều_chỉnh_sửa xóa_nguyện_vọng bài KTTD như bình_thường trên hệ_thống của bộ
115,việc tổ_chức thi xét tuyển sau khi nhập_học của trương trình đào_tạo tài_năng là sao ạ,chào em câu hỏi của em đã bao_gồm câu trả_lời thầy không biết phải giải_thích sao cho em hiểu tức_là sau khi em nhập_học sẽ tổ_chức thi để chọn VD 1000 bạn vào 1 lớp tài_năng dạng như lớp chọn của ngành đào_tạo đó vd em vào học lớp 12 12A1 12A12 thì sẽ có lớp 12A1 là lớp chọn để vào lớp chọn cần có 1 hình_thức đánh_giá là nhà_trường tổ_chức thi
116,I would like to ask how to apply to HUST if I am an international student,hello if you want to learn how to apply for international students to HUST please see this article to learn about requirements procedures and documents to be prepared for more detail https ts hust edu vn en news inernational admission
